player hand sum;dealers card;usable ace;stick;hit
20;3;1;1.0610727807160103;0
20;4;0;5.448414061132504;0
20;4;1;1.2665223786985012;0
20;5;0;5.454751263291597;-0.36000000000000004
20;5;1;1.3047823742625742;0
20;6;0;4.727533859429124;-0.36000000000000004
20;6;1;0.38431840000000006;0
20;7;0;6.111979663074545;-0.2
20;7;1;1.492369774182144;0
20;8;0;5.749055922199825;-0.36000000000000004
20;8;1;1.05126858455399;0
20;9;0;6.411629721846899;-0.36000000000000004
20;9;1;1.3012375584658433;0
20;10;0;4.444152530633666;-0.67232
20;10;1;2.0990243754595572;-0.2
21;1;0;0;0
21;1;1;2.884246563899793;0
21;2;0;0;0
21;2;1;3.503843369639136;0
21;3;0;0;0
21;3;1;3.638264632190281;0
21;4;0;0;0
21;4;1;3.5860653498140644;0
21;5;0;0;0
21;5;1;4.005453740517499;0
21;6;0;0;0
21;6;1;3.863394305693515;0
21;7;0;0;0
21;7;1;4.813780949879314;0
21;8;0;0;0
21;8;1;4.3667290016466795;0
21;9;0;0;0
21;9;1;4.958575371190308;0
21;10;0;0;0
21;10;1;8.262849155786707;0
22;1;0;0;0
22;1;1;0;0
22;2;0;0;0
22;2;1;0;0
22;3;0;0;0
22;3;1;0;0
22;4;0;0;0
22;4;1;0;0
22;5;0;0;0
22;5;1;0;0
22;6;0;0;0
22;6;1;0;0
22;7;0;0;0
22;7;1;0;0
22;8;0;0;0
22;8;1;0;0
22;9;0;0;0
22;9;1;0;0
22;10;0;0;0
22;10;1;0;0
23;1;0;0;0
23;1;1;0;0
23;2;0;0;0
23;2;1;0;0
23;3;0;0;0
23;3;1;0;0
23;4;0;0;0
23;4;1;0;0
23;5;0;0;0
23;5;1;0;0
23;6;0;0;0
23;6;1;0;0
23;7;0;0;0
23;7;1;0;0
23;8;0;0;0
23;8;1;0;0
23;9;0;0;0
23;9;1;0;0
23;10;0;0;0
23;10;1;0;0
24;1;0;0;0
24;1;1;0;0
24;2;0;0;0
24;2;1;0;0
24;3;0;0;0
24;3;1;0;0
24;4;0;0;0
24;4;1;0;0
24;5;0;0;0
24;5;1;0;0
24;6;0;0;0
24;6;1;0;0
24;7;0;0;0
24;7;1;0;0
24;8;0;0;0
24;8;1;0;0
24;9;0;0;0
24;9;1;0;0
24;10;0;0;0
24;10;1;0;0
25;1;0;0;0
25;1;1;0;0
25;2;0;0;0
25;2;1;0;0
25;3;0;0;0
25;3;1;0;0
25;4;0;0;0
25;4;1;0;0
25;5;0;0;0
25;5;1;0;0
25;6;0;0;0
25;6;1;0;0
25;7;0;0;0
25;7;1;0;0
25;8;0;0;0
25;8;1;0;0
25;9;0;0;0
25;9;1;0;0
25;10;0;0;0
25;10;1;0;0
26;1;0;0;0
26;1;1;0;0
26;2;0;0;0
26;2;1;0;0
26;3;0;0;0
26;3;1;0;0
26;4;0;0;0
26;4;1;0;0
26;5;0;0;0
26;5;1;0;0
26;6;0;0;0
26;6;1;0;0
26;7;0;0;0
26;7;1;0;0
26;8;0;0;0
26;8;1;0;0
26;9;0;0;0
26;9;1;0;0
26;10;0;0;0
26;10;1;0;0
27;1;0;0;0
27;1;1;0;0
27;2;0;0;0
27;2;1;0;0
27;3;0;0;0
27;3;1;0;0
27;4;0;0;0
27;4;1;0;0
27;5;0;0;0
27;5;1;0;0
27;6;0;0;0
27;6;1;0;0
27;7;0;0;0
27;7;1;0;0
27;8;0;0;0
27;8;1;0;0
27;9;0;0;0
27;9;1;0;0
27;10;0;0;0
27;10;1;0;0
28;1;0;0;0
28;1;1;0;0
28;2;0;0;0
28;2;1;0;0
28;3;0;0;0
28;3;1;0;0
28;4;0;0;0
28;4;1;0;0
28;5;0;0;0
28;5;1;0;0
28;6;0;0;0
28;6;1;0;0
28;7;0;0;0
28;7;1;0;0
28;8;0;0;0
28;8;1;0;0
28;9;0;0;0
28;9;1;0;0
28;10;0;0;0
28;10;1;0;0
29;1;0;0;0
29;1;1;0;0
29;2;0;0;0
29;2;1;0;0
29;3;0;0;0
29;3;1;0;0
29;4;0;0;0
29;4;1;0;0
29;5;0;0;0
29;5;1;0;0
29;6;0;0;0
29;6;1;0;0
29;7;0;0;0
29;7;1;0;0
29;8;0;0;0
29;8;1;0;0
29;9;0;0;0
29;9;1;0;0
29;10;0;0;0
29;10;1;0;0
30;1;0;0;0
30;1;1;0;0
30;2;0;0;0
30;2;1;0;0
30;3;0;0;0
30;3;1;0;0
30;4;0;0;0
30;4;1;0;0
30;5;0;0;0
30;5;1;0;0
30;6;0;0;0
30;6;1;0;0
30;7;0;0;0
30;7;1;0;0
30;8;0;0;0
30;8;1;0;0
30;9;0;0;0
30;9;1;0;0
30;10;0;0;0
30;10;1;0;0
31;1;0;0;0
31;1;1;0;0
31;2;0;0;0
31;2;1;0;0
31;3;0;0;0
31;3;1;0;0
31;4;0;0;0
31;4;1;0;0
31;5;0;0;0
31;5;1;0;0
31;6;0;0;0
31;6;1;0;0
31;7;0;0;0
31;7;1;0;0
31;8;0;0;0
31;8;1;0;0
31;9;0;0;0
31;9;1;0;0
31;10;0;0;0
31;10;1;0;0
